item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,protein,salt,fiber,polyols,starch
0000016945,Dolina Dobra Śląskie kiełbaski śniadaniowe 100% mięsa 200 g,mieso,Y,w porcji 100 g,234 kcal,18 g,6.6 g,0.7 g,0 g,17 g,2.1 g,,,
0000006264,Kraina Wędlin Szynka zawędzana cienkie plastry 250 g,mieso,Y,w porcji 100 g,102 kcal,2 g,0.7 g,3 g,0.8 g,18 g,2.5 g,0 g,,
0000005440,Tarczyński Gryzzale Kabanosy z szynki z cielęciną 90 g,mieso,Y,w porcji 100 g,381 kcal,29 g,12 g,3.9 g,1.1 g,26 g,2.2 g,,,
0000004413,Kraina Mięs Szynka wieprzowa bez kości,mieso,N,,,,,,,,,,,
0000001888,"Kraina Mięs Mięso wołowe na gulasz, 500 g",mieso,N,,,,,,,,,,,
0000002203,Kraina Mięs Żeberka Wieprzowe,mieso,Y,w porcji 100 g,160 kcal,0 g,0 g,37 g,32.5 g,1 g,5 g,1 g,,
0000012659,Marinero Filety śledziowe a'la Matjas 460/350 g,mieso,Y,w porcji 100 g,172 kcal,14.4 g,3.3 g,0 g,0 g,10.5 g,6.45 g,,,
0000004584,Marinero Śledzie krojone z trawą cytrynową i pieprzem cytrynowym 200g,mieso,Y,w porcji 100 g,268 kcal,20 g,2.2 g,7.7 g,5.3 g,9 g,2.1 g,2.2 g,,
0000000248,"Kraina Mięs Kurczak bez podrobów świeży, klasa A",mieso,N,,,,,,,,,,,
0000009457,Fisherking Pstrąg łososiowy wędzony w plastrach 100 g,mieso,Y,w porcji 100 g,198 kcal,13 g,2.5 g,0 g,0 g,20 g,3.2 g,,,
0000016514,Lisner Śledzik na raz w sosie grzybowym kurki 100 g,mieso,Y,w porcji 100 g,309 kcal,28 g,4.2 g,6.4 g,5.6 g,7.8 g,1.9 g,,,
0000007344,Kraina Mięs Kostka z fileta z piersi kurczaka świeża 400 g,mieso,N,,,,,,,,,,,
0000004877,Kraina Wędlin Kiełbaski białe z szynki 270 g,mieso,Y,w porcji 100 g,249 kcal,19 g,9 g,2.6 g,1 g,17 g,1.7 g,1.4 g,,
0000000118,Marinero Makrela wędzona,mieso,Y,w porcji 100 g,256 kcal,20 g,4.9 g,0.5 g,0.5 g,19 g,1.2 g,0.5 g,,
0000007284,Kraina Mięs Sznycel z fileta z piersi indyka,mieso,N,,,,,,,,,,,
0000001111,Kraina Wędlin Select Kiełbasa Krakowska Sucha i Salami Ostródzkie plastry 100 g,mieso,Y,w porcji 100 g,212 kcal,11 g,4.1 g,0.2 g,0 g,28 g,3.4 g,,,
0000004697,Drobimex Szynka delikatesowa z kurcząt 100 g,mieso,Y,w porcji 100 g,107 kcal,2.5 g,1.2 g,2.2 g,0.5 g,19 g,2 g,,,
0000000957,"Kraina Mięs Karkówka bez kości kotlety wieprzowe, 560 g",mieso,N,,,,,,,,,,,
0000007087,Tarczyński Naturalnie parówki z szynki 200 g,mieso,Y,w porcji 100 g,287 kcal,25 g,9.4 g,1.3 g,1.1 g,14 g,2.1 g,,,
0000004913,Kraina Wędlin Parówki z szynki 250 g,mieso,Y,w porcji 100 g,285 kcal,25 g,10 g,0.7 g,0.7 g,14 g,2.1 g,0.8 g,,
0000006593,"Morlińska Szynka z kurczaka, 250 g",mieso,Y,w porcji 100 g,94 kcal,0.5 g,0.2 g,5 g,0.7 g,17 g,1.8 g,,,
0000005425,Kraina Wędlin Kabanosy klasyczne wieprzowo-drobiowe 300 g,mieso,Y,w porcji 100 g,428 kcal,35 g,13 g,6.4 g,2.3 g,21 g,3.1 g,,,
0000007279,Tarczyński Exclusive Kabanosy wieprzowe 105 g,mieso,Y,w porcji 100 g,517 kcal,44 g,17 g,5.2 g,1.9 g,24 g,2.7 g,,,
0000006451,Kraina Wędlin Parówki drobiowe 700 g,mieso,Y,w porcji 100 g,213 kcal,17 g,4.6 g,2.5 g,0.4 g,12 g,2.2 g,,,
0000003843,Kraina Mięs Łopatka wieprzowa bez kości,mieso,N,,,,,,,,,,,
0000005894,Głodniaki Parówki z szynki i cielęciny 200 g,mieso,Y,w porcji 100 g,242 kcal,20 g,8 g,1.4 g,0.6 g,14 g,1.75 g,,,
0000004793,Kraina Mięs polędwiczka z piersi indyka,mieso,N,,,,,,,,,,,
0000005439,Tarczyński Gryzzale Kabanosy z kurczaka z indykiem 90 g,mieso,Y,w porcji 100 g,290 kcal,18 g,6.4 g,5.8 g,1.7 g,24 g,2.3 g,,,
0000012932,Kraina Wędlin Salami paprykowe 300 g,mieso,Y,w porcji 100 g,350 kcal,30 g,12 g,2.1 g,0.8 g,18 g,3 g,0.5 g,,
0000011298,Kraina Mięs Select Kurczak farmerski Filet z piersi kurczaka kg,mieso,N,,,,,,,,,,,
0000012516,Tarczyński Kabanosy Exclusive cielęce z drobiem 90 g,mieso,Y,w porcji 100 g,495 kcal,42 g,17 g,1.9 g,1.9 g,26 g,3 g,,,
0000007023,Tarczyński Family Parówki z szynki 440 G,mieso,Y,w porcji 100 g,260 kcal,22 g,8.1 g,3.5 g,0.6 g,12 g,2.3 g,,,
0000002532,Czas na grill Burger wołowy 200 g,mieso,Y,w porcji 100 g,244 kcal,20 g,10 g,1.1 g,0.5 g,15 g,1.1 g,0 g,,
0000009624,Kraina Wędlin Kabanosy drobiowo-wieprzowe 120 g,mieso,Y,w porcji 100 g,494 kcal,41 g,16 g,4.8 g,1.3 g,25 g,3.1 g,3 g,,
0000006265,Kraina Wędlin Serdelki z szynki 300 g,mieso,Y,w porcji 100 g,267 kcal,23 g,9.2 g,0.5 g,0.5 g,14 g,2 g,,,
0000006591,"Morlińska Szynka z indyka, 200 g",mieso,Y,w porcji 100 g,97 kcal,1 g,0.3 g,2.4 g,0.7 g,19 g,2.2 g,,,
0000007743,Kraina Wędlin Frankfurterki z szynki 320 g,mieso,Y,w porcji 100 g,228 kcal,17 g,7.3 g,0.8 g,0.6 g,19 g,2.2 g,0 g,,
0000006917,Tarczyński Exclusive Kabanosy serowe 105 g,mieso,Y,w porcji 100 g,2191 kcal,46 g,18 g,2.7 g,1.4 g,25 g,2.1 g,,,
0000000331,Marinero Marynowane filety śledziowe bez skóry w zalewie z olejem roślinnym i cebulą 600/475g,mieso,Y,w porcji 100 g,195 kcal,12.7 g,2.8 g,10 g,9.2 g,9.9 g,2.44 g,,,
0000007024,Kraina Wędlin Schab wędzony na wiśniowo 250 g,mieso,Y,w porcji 100 g,102 kcal,2.4 g,1.2 g,2 g,0.5 g,18 g,2.5 g,,,
0000007152,Tarczyński Pieczone Kabanosy wieprzowe 200 g,mieso,Y,w porcji 100 g,469 kcal,38 g,15 g,7.8 g,2.2 g,23 g,3.4 g,,,
0000007151,Tarczyński Pieczone Kabanosy drobiowe 200 g,mieso,Y,w porcji 100 g,468 kcal,39 g,14 g,7.4 g,2.3 g,21 g,3.4 g,,,
0000008051,Kraina Wędlin Kiełbaski z szynki i cielęciny 300g,mieso,Y,w porcji 100 g,285 kcal,25 g,11 g,0.5 g,0.5 g,14 g,2 g,0.9 g,,
0000006511,Biedronka Boczek rolowany 100 g,mieso,Y,w porcji 100 g,358 kcal,31 g,13 g,0.5 g,0.5 g,20 g,1.9 g,,,
0000000122,"Kraina Mięs Ćwiartka tylna z kurczaka świeża, klasa A",mieso,N,,,,,,,,,,,
0000002679,Kraina Mięs Mięso garmażeryjne wieprzowo-wołowe 500 g,mieso,Y,w porcji 100 g,318 kcal,28 g,11 g,0.5 g,0.5 g,16 g,0.6 g,,,
0000006088,Lisner Rybka na raz w sosie słodko-pikantnym 100 g,mieso,Y,w porcji 100 g,178 kcal,8.3 g,1.8 g,18.4 g,15.1 g,6.3 g,1.7 g,,,
0000006569,Kraina Wędlin Szynka z fileta kurczaka plastry 100 g,mieso,Y,w porcji 100 g,113 kcal,2 g,0.9 g,2.5 g,0.6 g,21 g,2 g,,,
0000004618,Kraina Wędlin MEGA PAKA Kiełbasa śląska kg,mieso,Y,w porcji 100 g,228 kcal,18 g,6.9 g,1 g,0.6 g,15 g,2 g,1 g,,
0000009623,Kraina Wędlin Kabanosy z szynki 120 g,mieso,Y,w porcji 100 g,485 kcal,41 g,16 g,2.4 g,1.4 g,26 g,3 g,1.3 g,,
0000004271,Marinero Szybki Śledzik w sosie czosnkowym 110g,mieso,Y,w porcji 100 g,331 kcal,31.3 g,3.4 g,5.7 g,4.7 g,6.6 g,2.5 g,,,
0000007801,Kraina Wędlin Serdelki z filetem z indyka 300 g,mieso,Y,w porcji 100 g,189 kcal,14 g,4 g,0.8 g,0.8 g,15 g,1.9 g,0.5 g,,
0000004562,Morliny Duża paczka kiełbasa śląska kg,mieso,Y,w porcji 100 g,299 kcal,27 g,11 g,3 g,1.2 g,11 g,2.3 g,,,
0000004946,"Tarczyński Kabanosy wieprzowe, 300 g",mieso,Y,w porcji 100 g,469 kcal,38 g,15 g,7.8 g,2.2 g,23 g,3.4 g,,,
0000006825,Tarczyński Parówki premium z fileta z indyka (2 x 80 g) 160 g,mieso,Y,w porcji 100 g,231 kcal,18 g,5.1 g,2.8 g,0.5 g,14 g,2.5 g,,,
0000008824,Kraina Wędlin Snack Mini Snacki 100 g,mieso,Y,w porcji 100 g,513 kcal,42 g,17 g,2.1 g,0.7 g,31 g,3.8 g,1.1 g,,
0000011292,Kraina Mięs nature Udo z kurczaka z wolnego wybiegu,mieso,N,,,,,,,,,,,
0000011273,Kraina Mięs nature Kurczak z wolnego wybiegu bez podrobów,mieso,N,,,,,,,,,,,
0000001770,Kraina Mięs Udo z kurczaka świeże klasa A kg,mieso,N,,,,,,,,,,,
0000002754,Morliny Kiełbasa morlińska z piersią kurczaka 400 g,mieso,Y,w porcji 100 g,187 kcal,13 g,4 g,0.6 g,0.6 g,17 g,2.1 g,,,
0000011297,Kraina Mięs Select Kurczak farmerski Ćwiartka tylna z kurczaka kg,mieso,N,,,,,,,,,,,
0000003339,Kraina Mięs Schab wieprzowy bez kości,mieso,N,,,,,,,,,,,
0000002459,Marinero Pstrąg tęczowy filet kg,mieso,Y,w porcji 100 ml,103 kcal,2.94 g,0.6 g,0 g,0 g,17.4 g,0.41 g,0 g,,
0000002776,Kraina Mięs Porcja rosołowa wołowa,mieso,N,,,,,,,,,,,
0000002049,Marinero Pstrąg tęczowy świeży patroszony kg,mieso,Y,w porcji 100 g,129 kcal,5.6 g,0.9 g,0.5 g,0.1 g,19.6 g,0.1 g,0 g,,
0000001108,Kraina Wędlin Mielonka Tyrolska 270 g,mieso,Y,w porcji 100 g,213 kcal,16.4 g,7.2 g,4.1 g,1.2 g,12 g,1.9 g,0.5 g,,
